No,UI_Category,Recommended_Pattern,Style_Priority,Color_Mood,Typography_Mood,Key_Effects,Decision_Rules,Anti_Patterns,Severity,Reasoning,Confidence
34,Restaurant/Food Service,Hero-Centric + Conversion,Vibrant & Block-based + Motion-Driven,Warm colors (Orange Red Brown),Appetizing + Clear typography,Food image reveal + Menu hover effects,"{""must_have"":[""constraint:high-quality-images""],""if_delivery"":[""constraint:emphasize-speed""]}",Low-quality imagery + Outdated hours,HIGH,,
35,Fitness/Gym App,Feature-Rich + Data,Vibrant & Block-based + Dark Mode (OLED),Energetic (Orange #FF6B35) + Dark bg,Bold + Motivational typography,Progress ring animations + Achievement unlocks,"{""must_have"":[""constraint:progress-tracking"",""constraint:workout-plans""]}",Static design + No gamification,HIGH,,
36,Real Estate/Property,Hero-Centric + Feature-Rich,Glassmorphism + Minimalism & Swiss Style,Trust Blue + Gold + White,Professional + Confident,3D property tour zoom + Map hover,"{""if_luxury"":[""constraint:add-3d-models""],""must_have"":[""constraint:map-integration""]}",Poor photos + No virtual tours,HIGH,,
37,Travel/Tourism Agency,Storytelling-Driven + Hero,Aurora UI + Motion-Driven,Vibrant destination + Sky Blue,Inspirational + Engaging,Destination parallax + Itinerary animations,"{""if_experience_focused"":[""style:parallax-storytelling""],""must_have"":[""constraint:mobile-booking""]}",Generic photos + Complex booking,HIGH,,
38,Hotel/Hospitality,Hero-Centric + Social Proof,Liquid Glass + Minimalism & Swiss Style,Warm neutrals + Gold (#D4AF37),Elegant + Welcoming typography,Room gallery + Amenity reveals,"{""must_have"":[""constraint:room-booking"",""constraint:virtual-tour""]}",Poor photos + Complex booking,HIGH,,
39,Wedding/Event Planning,Storytelling + Social Proof,Soft UI Evolution + Aurora UI,Soft Pink (#FFD6E0) + Gold + Cream,Elegant + Romantic typography,Gallery reveals + Timeline animations,"{""must_have"":[""constraint:portfolio-gallery"",""constraint:planning-tools""]}",Generic templates + No portfolio,HIGH,,
40,Legal Services,Trust & Authority + Minimal,Accessible & Ethical + Minimalism & Swiss Style,Navy Blue (#1E3A5F) + Gold + White,Professional + Authoritative typography,Practice area reveal + Attorney profile animations,"{""must_have"":[""constraint:case-results"",""constraint:credential-display""]}",Outdated design + Hidden credentials + AI purple/pink gradients,HIGH,,
41,Insurance Platform,Conversion + Trust,Accessible & Ethical + Flat Design,Trust Blue (#0066CC) + Green + Neutral,Clear + Professional typography,Quote calculator animations + Policy comparison,"{""must_have"":[""constraint:quote-calculator"",""constraint:policy-comparison""]}",Confusing pricing + No trust signals + AI purple/pink gradients,HIGH,,
42,Banking/Traditional Finance,Trust & Authority + Feature,Minimalism & Swiss Style + Accessible & Ethical,Navy (#0A1628) + Trust Blue + Gold,Professional + Trustworthy typography,Smooth number animations + Security indicators,"{""must_have"":[""constraint:security-first"",""constraint:accessibility""]}",Playful design + Poor security UX + AI purple/pink gradients,HIGH,,
43,Online Course/E-learning,Feature-Rich + Social Proof,Claymorphism + Vibrant & Block-based,Vibrant learning colors + Progress green,Friendly + Engaging typography,Progress bar animations + Certificate reveals,"{""must_have"":[""constraint:progress-tracking"",""constraint:video-player""]}",Boring design + No gamification,HIGH,,
44,Non-profit/Charity,Storytelling + Trust,Accessible & Ethical + Organic Biophilic,Cause-related colors + Trust + Warm,Heartfelt + Readable typography,Impact counter animations + Story reveals,"{""must_have"":[""constraint:impact-stories"",""constraint:donation-transparency""]}",No impact data + Hidden financials,HIGH,,
45,Music Streaming,Feature-Rich Showcase,Dark Mode (OLED) + Vibrant & Block-based,Dark (#121212) + Vibrant accents + Album art colors,Modern + Bold typography,Waveform visualization + Playlist animations,"{""must_have"":[""constraint:audio-player-ux""],""if_discovery_focused"":[""constraint:add-playlist-recommendations""]}",Cluttered layout + Poor audio player UX,HIGH,,
46,Video Streaming/OTT,Hero-Centric + Feature-Rich,Dark Mode (OLED) + Motion-Driven,Dark bg + Poster colors + Brand accent,Bold + Engaging typography,Video player animations + Content carousel (parallax),"{""must_have"":[""constraint:continue-watching""],""if_personalized"":[""constraint:add-recommendations""]}",Static layout + Slow video player,HIGH,,
47,Job Board/Recruitment,Conversion-Optimized + Feature-Rich,Flat Design + Minimalism & Swiss Style,Professional Blue + Success Green + Neutral,Clear + Professional typography,Search/filter animations + Application flow,"{""must_have"":[""constraint:advanced-search""],""if_salary_focused"":[""constraint:highlight-compensation""]}",Outdated forms + Hidden filters,HIGH,,
48,Marketplace (P2P),Feature-Rich Showcase + Social Proof,Vibrant & Block-based + Flat Design,Trust colors + Category colors + Success green,Modern + Engaging typography,Review star animations + Listing hover effects,"{""must_have"":[""constraint:seller-profiles"",""constraint:secure-payment""]}",Low trust signals + Confusing layout,HIGH,,
49,Logistics/Delivery,Feature-Rich Showcase + Real-Time,Minimalism & Swiss Style + Flat Design,Blue (#2563EB) + Orange (tracking) + Green,Clear + Functional typography,Real-time tracking animation + Status pulse,"{""must_have"":[""constraint:tracking-map"",""constraint:delivery-updates""]}",Static tracking + No map integration + AI purple/pink gradients,HIGH,,
50,Agriculture/Farm Tech,Feature-Rich Showcase,Organic Biophilic + Flat Design,Earth Green (#4A7C23) + Brown + Sky Blue,Clear + Informative typography,Data visualization + Weather animations,"{""must_have"":[""constraint:sensor-dashboard""],""if_crop_focused"":[""constraint:add-health-indicators""]}",Generic design + Ignored accessibility + AI purple/pink gradients,MEDIUM,,
51,Construction/Architecture,Hero-Centric + Feature-Rich,Minimalism & Swiss Style + 3D & Hyperrealism,Grey (#4A4A4A) + Orange (safety) + Blueprint Blue,Professional + Bold typography,3D model viewer + Timeline animations,"{""must_have"":[""constraint:project-portfolio""],""if_team_collaboration"":[""constraint:add-real-time-updates""]}",2D-only layouts + Poor image quality + AI purple/pink gradients,HIGH,,
52,Automotive/Car Dealership,Hero-Centric + Feature-Rich,Motion-Driven + 3D & Hyperrealism,Brand colors + Metallic + Dark/Light,Bold + Confident typography,360 product view + Configurator animations,"{""must_have"":[""constraint:vehicle-comparison"",""constraint:financing-calculator""]}",Static product pages + Poor UX,HIGH,,
53,Photography Studio,Storytelling-Driven + Hero-Centric,Motion-Driven + Minimalism & Swiss Style,Black + White + Minimal accent,Elegant + Minimal typography,Full-bleed gallery + Before/after reveal,"{""must_have"":[""constraint:portfolio-showcase""],""if_booking"":[""constraint:add-calendar-system""]}",Heavy text + Poor image showcase,HIGH,,
54,Coworking Space,Hero-Centric + Feature-Rich,Vibrant & Block-based + Glassmorphism,Energetic colors + Wood tones + Brand,Modern + Engaging typography,Space tour video + Amenity reveal animations,"{""must_have"":[""constraint:virtual-tour"",""constraint:booking-system""]}",Outdated photos + Confusing layout,MEDIUM,,
55,Home Services (Plumber/Electrician),Conversion-Optimized + Trust,Flat Design + Accessible & Ethical,Trust Blue + Safety Orange + Grey,Professional + Clear typography,Emergency contact highlight + Service menu animations,"{""must_have"":[""constraint:emergency-contact"",""constraint:certifications-display""]}",Hidden contact info + No certifications,HIGH,,
56,Childcare/Daycare,Social Proof-Focused + Trust,Claymorphism + Vibrant & Block-based,Playful pastels + Safe colors + Warm,Friendly + Playful typography,Parent portal animations + Activity gallery reveal,"{""must_have"":[""constraint:parent-communication"",""constraint:safety-certifications""]}",Generic design + Hidden safety info,HIGH,,
57,Senior Care/Elderly,Trust & Authority + Accessible,Accessible & Ethical + Soft UI Evolution,Calm Blue + Warm neutrals + Large text,Large + Clear typography (18px+),Large touch targets + Clear navigation,"{""must_have"":[""constraint:wcag-aaa"",""constraint:family-portal""]}",Small text + Complex navigation + AI purple/pink gradients,HIGH,,
58,Medical Clinic,Trust & Authority + Conversion,Accessible & Ethical + Minimalism & Swiss Style,Medical Blue (#0077B6) + Trust White,Professional + Readable typography,Online booking flow + Doctor profile reveals,"{""must_have"":[""constraint:appointment-booking"",""constraint:insurance-info""]}",Outdated interface + Confusing booking + AI purple/pink gradients,HIGH,,
59,Pharmacy/Drug Store,Conversion-Optimized + Trust,Flat Design + Accessible & Ethical,Pharmacy Green + Trust Blue + Clean White,Clear + Functional typography,Prescription upload flow + Refill reminders,"{""must_have"":[""constraint:prescription-management"",""constraint:drug-interaction-warnings""]}",Confusing layout + Privacy concerns + AI purple/pink gradients,HIGH,,
60,Dental Practice,Social Proof-Focused + Conversion,Soft UI Evolution + Minimalism & Swiss Style,Fresh Blue + White + Smile Yellow,Friendly + Professional typography,Before/after gallery + Patient testimonial carousel,"{""must_have"":[""constraint:before-after-gallery"",""constraint:appointment-system""]}",Poor imagery + No testimonials,HIGH,,
61,Veterinary Clinic,Social Proof-Focused + Trust,Claymorphism + Accessible & Ethical,Caring Blue + Pet colors + Warm,Friendly + Welcoming typography,Pet profile management + Service animations,"{""must_have"":[""constraint:pet-portal"",""constraint:emergency-contact""]}",Generic design + Hidden services,MEDIUM,,
62,Florist/Plant Shop,Hero-Centric + Conversion,Organic Biophilic + Vibrant & Block-based,Natural Green + Floral pinks/purples,Elegant + Natural typography,Product reveal + Seasonal transitions,"{""must_have"":[""constraint:delivery-scheduling"",""constraint:care-guides""]}",Poor imagery + No seasonal content,MEDIUM,,
63,Bakery/Cafe,Hero-Centric + Conversion,Vibrant & Block-based + Soft UI Evolution,Warm Brown + Cream + Appetizing accents,Warm + Inviting typography,Menu hover + Order animations,"{""must_have"":[""constraint:menu-display"",""constraint:online-ordering""]}",Poor food photos + Hidden hours,HIGH,,
64,Brewery/Winery,Storytelling + Hero-Centric,Motion-Driven + Vintage Analog / Retro Film,Deep amber/burgundy + Gold + Craft,Artisanal + Heritage typography,Tasting note reveals + Heritage timeline,"{""must_have"":[""constraint:product-showcase"",""constraint:story-heritage""]}",Generic product pages + No story,HIGH,,
65,Airline,Conversion + Feature-Rich,Minimalism & Swiss Style + Glassmorphism,Sky Blue + Brand colors + Trust,Clear + Professional typography,Flight search animations + Boarding pass reveals,"{""must_have"":[""constraint:flight-search"",""constraint:mobile-first""]}",Complex booking + Poor mobile,HIGH,,
66,News/Media Platform,Hero-Centric + Feature-Rich,Minimalism & Swiss Style + Flat Design,Brand colors + High contrast,Clear + Readable typography,Breaking news badge + Article reveal animations,"{""must_have"":[""constraint:mobile-first-reading"",""constraint:category-navigation""]}",Cluttered layout + Slow loading,HIGH,,
67,Magazine/Blog,Storytelling + Hero-Centric,Swiss Modernism 2.0 + Motion-Driven,Editorial colors + Brand + Clean white,Editorial + Elegant typography,Article transitions + Category reveals,"{""must_have"":[""constraint:article-showcase"",""constraint:newsletter-signup""]}",Poor typography + Slow loading,HIGH,,
68,Freelancer Platform,Feature-Rich + Conversion,Flat Design + Minimalism & Swiss Style,Professional Blue + Success Green,Clear + Professional typography,Skill match animations + Review reveals,"{""must_have"":[""constraint:portfolio-display"",""constraint:skill-matching""]}",Poor profiles + No reviews,HIGH,,
69,Marketing Agency,Storytelling + Feature-Rich,Brutalism + Motion-Driven,Bold brand colors + Creative freedom,Bold + Expressive typography,Portfolio reveals + Results animations,"{""must_have"":[""constraint:portfolio"",""constraint:results-metrics""]}",Boring design + Hidden work,HIGH,,
70,Event Management,Hero-Centric + Feature-Rich,Vibrant & Block-based + Motion-Driven,Event theme colors + Excitement accents,Bold + Engaging typography,Countdown timer + Registration flow,"{""must_have"":[""constraint:registration"",""constraint:agenda-display""]}",Confusing registration + No countdown,HIGH,,
71,Membership/Community,Social Proof + Conversion,Vibrant & Block-based + Soft UI Evolution,Community brand colors + Engagement,Friendly + Engaging typography,Member counter + Benefit reveals,"{""must_have"":[""constraint:member-benefits"",""constraint:pricing-tiers""]}",Hidden benefits + No community proof,HIGH,,
72,Newsletter Platform,Minimal + Conversion,Minimalism & Swiss Style + Flat Design,Brand primary + Clean white + CTA,Clean + Readable typography,Subscribe form + Archive reveals,"{""must_have"":[""constraint:subscribe-form"",""constraint:sample-content""]}",Complex signup + No preview,MEDIUM,,
73,Digital Products/Downloads,Feature-Rich + Conversion,Vibrant & Block-based + Motion-Driven,Product colors + Brand + Success green,Modern + Clear typography,Product preview + Instant delivery animations,"{""must_have"":[""constraint:product-preview"",""constraint:instant-delivery""]}",No preview + Slow delivery,HIGH,,
74,Church/Religious Organization,Hero-Centric + Social Proof,Accessible & Ethical + Soft UI Evolution,Warm Gold + Deep Purple/Blue + White,Welcoming + Clear typography,Service time highlights + Event calendar,"{""must_have"":[""constraint:service-times"",""constraint:community-events""]}",Outdated design + Hidden info,MEDIUM,,
75,Sports Team/Club,Hero-Centric + Feature-Rich,Vibrant & Block-based + Motion-Driven,Team colors + Energetic accents,Bold + Impactful typography,Score animations + Schedule reveals,"{""must_have"":[""constraint:schedule"",""constraint:roster""]}",Static content + Poor fan engagement,HIGH,,
76,Museum/Gallery,Storytelling + Feature-Rich,Minimalism & Swiss Style + Motion-Driven,Art-appropriate neutrals + Exhibition accents,Elegant + Minimal typography,Virtual tour + Collection reveals,"{""must_have"":[""constraint:virtual-tour"",""constraint:exhibition-info""]}",Cluttered layout + No online access,HIGH,,
77,Theater/Cinema,Hero-Centric + Conversion,Dark Mode (OLED) + Motion-Driven,Dark + Spotlight accents + Gold,Dramatic + Bold typography,Seat selection + Trailer reveals,"{""must_have"":[""constraint:showtimes"",""constraint:seat-selection""]}",Poor booking UX + No trailers,HIGH,,
78,Language Learning App,Feature-Rich + Social Proof,Claymorphism + Vibrant & Block-based,Playful colors + Progress indicators,Friendly + Clear typography,Progress animations + Achievement unlocks,"{""must_have"":[""constraint:progress-tracking"",""constraint:gamification""]}",Boring design + No motivation,HIGH,,
79,Coding Bootcamp,Feature-Rich + Social Proof,Dark Mode (OLED) + Minimalism & Swiss Style,Code editor colors + Brand + Success,Technical + Clear typography,Terminal animations + Career outcome reveals,"{""must_have"":[""constraint:curriculum"",""constraint:career-outcomes""]}",Light mode only + Hidden results,HIGH,,
80,Cybersecurity Platform,Trust & Authority + Real-Time,Cyberpunk UI + Dark Mode (OLED),Matrix Green (#00FF00) + Deep Black,Technical + Clear typography,Threat visualization + Alert animations,"{""must_have"":[""constraint:real-time-monitoring"",""constraint:threat-display""]}",Light mode + Poor data viz,HIGH,,
81,Developer Tool / IDE,Minimal + Documentation,Dark Mode (OLED) + Minimalism & Swiss Style,Dark syntax theme + Blue focus,Monospace + Functional typography,Syntax highlighting + Command palette,"{""must_have"":[""constraint:keyboard-shortcuts"",""constraint:documentation""]}",Light mode default + Slow performance,HIGH,,
82,Biotech / Life Sciences,Storytelling + Data,Glassmorphism + Biomimetic / Organic 2.0,Sterile White + DNA Blue + Life Green,Scientific + Clear typography,Data visualization + Research reveals,"{""must_have"":[""constraint:data-accuracy"",""constraint:clean-aesthetic""]}",Cluttered data + Poor credibility,HIGH,,
83,Space Tech / Aerospace,Immersive + Feature-Rich,HUD / Sci-Fi FUI + Dark Mode (OLED),Deep Space Black + Star White + Metallic,Futuristic + Precise typography,Telemetry animations + 3D renders,"{""must_have"":[""constraint:high-tech-feel"",""constraint:precision-data""]}",Generic design + No immersion,HIGH,,
84,Architecture / Interior,Portfolio + Hero-Centric,Exaggerated Minimalism + 3D & Hyperrealism,Monochrome + Gold Accent + High Imagery,Architectural + Elegant typography,Project gallery + Blueprint reveals,"{""must_have"":[""constraint:high-res-images"",""constraint:project-portfolio""]}",Poor imagery + Cluttered layout,HIGH,,
85,Quantum Computing Interface,Immersive + Interactive,HUD / Sci-Fi FUI + Dark Mode (OLED),Quantum Blue (#00FFFF) + Deep Black,Futuristic + Scientific typography,Probability visualizations + Qubit state animations,"{""must_have"":[""constraint:complexity-visualization"",""constraint:scientific-credibility""]}",Generic tech design + No viz,HIGH,,
86,Biohacking / Longevity App,Data-Dense + Storytelling,Biomimetic / Organic 2.0 + Minimalism & Swiss Style,Cellular Pink/Red + DNA Blue + White,Scientific + Clear typography,Biological data viz + Progress animations,"{""must_have"":[""constraint:data-privacy"",""constraint:scientific-credibility""]}",Generic health app + No privacy,HIGH,,
87,Autonomous Drone Fleet Manager,Real-Time + Feature-Rich,HUD / Sci-Fi FUI + Real-Time Monitoring,Tactical Green + Alert Red + Map Dark,Technical + Functional typography,Telemetry animations + 3D spatial awareness,"{""must_have"":[""constraint:real-time-telemetry"",""constraint:safety-alerts""]}",Slow updates + Poor spatial viz,HIGH,,
88,Generative Art Platform,Showcase + Feature-Rich,Minimalism & Swiss Style + Gen Z Chaos / Maximalism,Neutral (#F5F5F5) + User Content,Minimal + Content-focused typography,Gallery masonry + Minting animations,"{""must_have"":[""constraint:fast-loading"",""constraint:creator-attribution""]}",Heavy chrome + Slow loading,HIGH,,
89,Spatial Computing OS / App,Immersive + Interactive,Spatial UI (VisionOS) + Glassmorphism,Frosted Glass + System Colors + Depth,Spatial + Readable typography,Depth hierarchy + Gaze interactions,"{""must_have"":[""constraint:depth-hierarchy"",""constraint:environment-awareness""]}",2D design + No spatial depth,HIGH,,
90,Sustainable Energy / Climate Tech,Data + Trust,Organic Biophilic + E-Ink / Paper,Earth Green + Sky Blue + Solar Yellow,Clear + Informative typography,Impact viz + Progress animations,"{""must_have"":[""constraint:data-transparency"",""constraint:impact-visualization""]}",Greenwashing + No real data,HIGH,,
91,Personal Finance Tracker,Interactive Product Demo,Glassmorphism + Dark Mode (OLED),Calm blue + success green + alert red + chart accents,Modern + Clear hierarchy,Backdrop blur (10-20px) + Translucent overlays,"{""if_light_mode_needed"":[""constraint:provide-theme-toggle""],""if_low_performance"":[""style:flat-design""]}",Pure white backgrounds,HIGH,,
92,Chat & Messaging App,Feature-Rich Showcase + Demo,Minimalism & Swiss Style + Micro-interactions,Brand primary + bubble contrast (sender/receiver) + typing grey,Professional + Clean hierarchy,Subtle hover 200ms + Smooth transitions + Clean,"{""if_ux_focused"":[""constraint:prioritize-clarity""],""if_mobile"":[""constraint:optimize-touch-targets""]}",Excessive decoration,HIGH,,
