No,Category,Issue,Platform,Description,Do,Don't,Code Example Good,Code Example Bad,Severity
46,Performance,Image Optimization,All,Large images slow page load,Use appropriate size and format (WebP),Unoptimized full-size images,srcset with multiple sizes,4000px image for 400px display,High
47,Performance,Lazy Loading,All,Load content as needed,Lazy load below-fold images and content,Load everything upfront,loading='lazy',All images eager load,Medium
48,Performance,Code Splitting,Web,Large bundles slow initial load,Split code by route/feature,Single large bundle,dynamic import(),All code in main bundle,Medium
49,Performance,Caching,Web,Repeat visits should be fast,Set appropriate cache headers,No caching strategy,Cache-Control headers,Every request hits server,Medium
50,Performance,Font Loading,Web,Web fonts can block rendering,Use font-display swap or optional,Invisible text during font load,font-display: swap,FOIT (Flash of Invisible Text),Medium
51,Performance,Third Party Scripts,Web,External scripts can block rendering,Load non-critical scripts async/defer,Synchronous third-party scripts,async or defer attribute,<script src='...'> in head,Medium
52,Performance,Bundle Size,Web,Large JavaScript slows interaction,Monitor and minimize bundle size,Ignore bundle size growth,Bundle analyzer,No size monitoring,Medium
53,Performance,Render Blocking,Web,CSS/JS can block first paint,Inline critical CSS defer non-critical,Large blocking CSS files,Critical CSS inline,All CSS in head,Medium
54,Forms,Input Labels,All,Every input needs a visible label,Always show label above or beside input,Placeholder as only label,<label>Email</label><input>,placeholder='Email' only,High
55,Forms,Error Placement,All,Each invalid field needs an inline error connected to that field,Show a specific error below the input and reference it with aria-describedby,Show only a top-level error without identifying each invalid field,"<input aria-describedby=""email-error""><p id=""email-error"">Enter an email address</p>",Red border or summary only,High
56,Forms,Inline Validation,All,Validate as user types or on blur,Validate on blur for most fields,Validate only on submit,onBlur validation,Submit-only validation,Medium
57,Forms,Input Types,All,Use appropriate input types,Use email tel number url etc,Text input for everything,type='email',type='text' for email,Medium
58,Forms,Autofill Support,Web,Help browsers autofill correctly,Use autocomplete attribute properly,Block or ignore autofill,autocomplete='email',autocomplete='off' everywhere,Medium
59,Forms,Required Indicators,All,Mark required fields clearly,Use asterisk or (required) text,No indication of required fields,* required indicator,Guess which are required,Medium
60,Forms,Password Visibility,All,Let users see password while typing,Toggle to show/hide password,No visibility toggle,Show/hide password button,Password always hidden,Medium
61,Forms,Submit Feedback,All,Confirm form submission status,Show loading then success/error state,No feedback after submit,Loading -> Success message,Button click with no response,High
62,Forms,Input Affordance,All,Inputs should look interactive,Use distinct input styling,Inputs that look like plain text,Border/background on inputs,Borderless inputs,Medium
63,Forms,Mobile Keyboards,Mobile,Show appropriate keyboard for input type,Use inputmode attribute,Default keyboard for all inputs,inputmode='numeric',Text keyboard for numbers,Medium
64,Responsive,Mobile First,Web,Design for mobile then enhance for larger,Start with mobile styles then add breakpoints,Desktop-first causing mobile issues,Default mobile + md: lg: xl:,Desktop default + max-width queries,Medium
65,Responsive,Breakpoint Testing,Web,Test at all common screen sizes,Test at 320 375 414 768 1024 1440,Only test on your device,Multiple device testing,Single device development,Medium
66,Responsive,Touch Friendly,Web,Mobile layouts need touch-sized targets,Increase touch targets on mobile,Same tiny buttons on mobile,Larger buttons on mobile,Desktop-sized targets on mobile,High
67,Responsive,Readable Font Size,All,Text must be readable on all devices,Minimum 16px body text on mobile,Tiny text on mobile,text-base or larger,text-xs for body text,High
68,Responsive,Viewport Meta,Web,Set viewport for mobile devices,Use width=device-width initial-scale=1,Missing or incorrect viewport,<meta name='viewport'...>,No viewport meta tag,High
69,Responsive,Horizontal Scroll,Web,Avoid horizontal scrolling,Ensure content fits viewport width,Content wider than viewport,max-w-full overflow-x-hidden,Horizontal scrollbar on mobile,High
70,Responsive,Image Scaling,Web,Images should scale with container,Use max-width: 100% on images,Fixed width images overflow,max-w-full h-auto,width='800' fixed,Medium
71,Responsive,Table Handling,Web,Tables can overflow on mobile,Use horizontal scroll or card layout,Wide tables breaking layout,overflow-x-auto wrapper,Table overflows viewport,Medium
72,Typography,Line Height,All,Adequate line height improves readability,Use 1.5-1.75 for body text,Cramped or excessive line height,leading-relaxed (1.625),leading-none (1),Medium
73,Typography,Line Length,Web,Long lines are hard to read,Limit to 65-75 characters per line,Full-width text on large screens,max-w-prose,Full viewport width text,Medium
74,Typography,Font Size Scale,All,Consistent type hierarchy aids scanning,Use consistent modular scale,Random font sizes,Type scale (12 14 16 18 24 32),Arbitrary sizes,Medium
75,Typography,Font Loading,Web,Fonts should load without layout shift,Reserve space with fallback font,Layout shift when fonts load,font-display: swap + similar fallback,No fallback font,Medium
76,Typography,Contrast Readability,All,Body text needs good contrast,Use darker text on light backgrounds,Gray text on gray background,text-gray-900 on white,text-gray-400 on gray-100,High
77,Typography,Heading Clarity,All,Headings should stand out from body,Clear size/weight difference,Headings similar to body text,Bold + larger size,Same size as body,Medium
78,Feedback,Loading Indicators,All,Loading feedback should match the expected wait and avoid flashing for near-instant work,Follow platform and component guidance; preserve layout focus and accessible busy status,Apply one timing threshold to every operation or leave long waits unexplained,Stable skeleton or progress with aria-busy,Flickering spinner or frozen UI,High
79,Feedback,Empty States,All,Guide users when no content exists,Show helpful message and action,Blank empty screens,No items yet. Create one!,Empty white space,Medium
80,Feedback,Error Recovery,All,Help users recover from errors,Provide clear next steps,Error without recovery path,Try again button + help link,Error message only,Medium
81,Feedback,Progress Indicators,All,Show progress for multi-step processes,Step indicators or progress bar,No indication of progress,Step 2 of 4 indicator,No step information,Medium
82,Feedback,Toast Notifications,All,Transient messages for non-critical info,Auto-dismiss after 3-5 seconds,Toasts that never disappear,Auto-dismiss toast,Persistent toast,Medium
83,Feedback,Confirmation Messages,All,Confirm successful actions,Brief success message,Silent success,Saved successfully toast,No confirmation,Medium
84,Content,Truncation,All,Handle long content gracefully,Truncate with ellipsis and expand option,Overflow or broken layout,line-clamp-2 with expand,Overflow or cut off,Medium
85,Content,Date Formatting,All,Use locale-appropriate date formats,Use relative or locale-aware dates,Ambiguous date formats,2 hours ago or locale format,01/02/03,Low
86,Content,Number Formatting,All,Format large numbers for readability,Use thousand separators or abbreviations,Long unformatted numbers,"1.2K or 1,234",1234567,Low
87,Content,Placeholder Content,All,Show realistic placeholders during dev,Use realistic sample data,Lorem ipsum everywhere,Real sample content,Lorem ipsum,Low
88,Onboarding,User Freedom,All,Users should be able to skip tutorials,Provide Skip and Back buttons,Force linear unskippable tour,Skip Tutorial button,Locked overlay until finished,Medium
89,Search,Autocomplete,Web,Help users find results faster,Show predictions as user types,Require full type and enter,Debounced fetch + dropdown,No suggestions,Medium
90,Search,No Results,Web,Dead ends frustrate users,Show 'No results' with suggestions,Blank screen or '0 results',Try searching for X instead,No results found.,Medium
91,Data Entry,Bulk Actions,Web,Editing one by one is tedious,Allow multi-select and bulk edit,Single row actions only,Checkbox column + Action bar,Repeated actions per row,Low
92,AI Interaction,Disclaimer,All,Users need to know they talk to AI,Clearly label AI generated content,Present AI as human,AI Assistant label,Fake human name without label,High
93,AI Interaction,Streaming,All,Waiting for full text is slow,Stream text response token by token,Show loading spinner for 10s+,Typewriter effect,Spinner until 100% complete,Medium
94,Spatial UI,Gaze Hover,VisionOS,Elements should respond to eye tracking before pinch,Scale/highlight element on look,Static element until pinch,hoverEffect(),onTap only,High
95,Spatial UI,Depth Layering,VisionOS,UI needs Z-depth to separate content from environment,Use glass material and z-offset,Flat opaque panels blocking view,.glassBackgroundEffect(),bg-white,Medium
96,Sustainability,Auto-Play Video,Web,Autoplaying media consumes data and creates motion barriers,Prefer click-to-play; provide pause and captions; stop off-screen and honor reduced motion,Auto-play high-resolution loops without pause or captions,"<video controls preload=""none""><track kind=""captions"" /></video>",autoplay loop,Medium
97,Sustainability,Asset Weight,Web,Heavy 3D/Image assets increase carbon footprint,Compress and lazy load 3D models,Load 50MB textures,Draco compression,Raw .obj files,Medium
98,AI Interaction,Feedback Loop,All,AI needs user feedback to improve,Thumps up/down or 'Regenerate',Static output only,Feedback component,Read-only text,Low
99,Accessibility,Motion Sensitivity,All,Parallax/Scroll-jacking causes nausea,Honor prefers-reduced-motion and present the final readable state without parallax or scroll-jacking,Force scroll effects,@media (prefers-reduced-motion),ScrollTrigger.create(),High
100,Accessibility,Focus Not Obscured (Minimum),Web,WCAG 2.2 AA requires keyboard focus to remain at least partially visible,Offset sticky UI with scroll-padding and dismiss or move persistent overlays,Let headers footers banners or chat widgets fully cover focus,scroll-padding-top: var(--header-height),fixed overlay covers :focus,High
101,Accessibility,Focus Not Obscured (Enhanced),Web,WCAG 2.2 AAA requires keyboard focus to remain fully visible,Keep the entire focused component unobscured by author-created content,Present this enhanced AAA criterion as an AA requirement or allow persistent UI to hide any part of focus,close persistent overlay before focus moves behind it,sticky footer covers half the focused button,Medium
102,Accessibility,Focus Appearance,Web,WCAG 2.2 AAA defines minimum area and contrast for focus indicators,Use an indicator at least as large as a 2 CSS px perimeter with 3:1 state contrast,Present this enhanced AAA criterion as an AA requirement or use a thin low-contrast outline,outline: 2px solid currentColor; outline-offset: 2px,box-shadow: 0 0 1px low-contrast,Medium
103,Accessibility,Dragging Movements,All,WCAG 2.2 AA requires a single-pointer alternative for author-controlled drag operations,Add buttons menus or tap-to-move controls and retain keyboard operation,Make dragging the only way to reorder resize or select,Move up and Move down buttons beside drag handle,drag handle only,High
104,Accessibility,Target Size (Minimum),Web,WCAG 2.2 AA requires 24 CSS px pointer targets or an applicable exception,Use at least 24 by 24 CSS px or verify spacing equivalent inline user-agent or essential exceptions,Assume native 44pt or 48dp guidance defines web conformance,min-width: 24px; min-height: 24px,tiny adjacent icon buttons,High
105,Accessibility,Consistent Help,All,WCAG 2.2 A requires repeated help mechanisms to stay in the same relative order,Keep contact self-help and automated help in consistent locations,Move help controls to different locations on each page,shared header help menu,page-specific help placement,Medium
106,Forms,Redundant Entry,All,WCAG 2.2 A avoids requiring the same information twice in one process,Auto-populate prior values or let users select previously entered information,Ask users to retype the same address or account data without necessity,reuse confirmed shipping address,repeat full address form,Medium
107,Security / Accessibility,Accessible Authentication (Minimum),All,WCAG 2.2 AA says authentication must not depend only on a cognitive function test unless an exception applies,Allow password managers and paste; offer passkeys OAuth or another non-cognitive method,Block paste or require manual OTP transcription with no alternative,"autocomplete=""current-password"" and paste allowed",onpaste preventDefault,Critical
108,Animation,Auto-Rotating Content Controls,All,Auto-rotating content needs user control,Provide previous next and play/pause; stop on focus or hover and when reduced motion is requested,Auto-advance slides without a stop control,"button aria-label=""Pause carousel""",timer-only carousel,High
109,Forms / Accessibility,Focusable Error Summary,Web,An error summary for failed validation complements inline field errors and must be easy to find by keyboard and screen reader users,Place it at the top of the form; move focus to its heading or container after failed submit; link each item to its invalid field; retain inline errors,Replace inline errors with a visual-only summary or move focus on every blur,"<div role=""alert"" tabindex=""-1"" aria-labelledby=""error-title""><h2 id=""error-title"">There is a problem</h2><a href=""#email"">Enter an email address</a></div>",Toast only with no field links or focus target,High
110,Typography,Heading Line Balance,Web,Short multi-line headings may use balanced wrapping as a progressive visual heuristic,Bound the measure and test natural-wrap fallback across widths fonts and locales,Promise an exact final line or insert blanket nonbreaking spaces or hardcoded br tags,.hero-title { max-inline-size: 20ch; text-wrap: balance; },Heading copy rewritten with forced last-line breaks,Medium
111,Layout,Long Token Wrapping,Web,URLs identifiers and user content must not force horizontal overflow,Use overflow-wrap anywhere and let flex or grid text children shrink,Apply word-break break-all to all prose,.token { min-inline-size: 0; overflow-wrap: anywhere; },.token { white-space: nowrap; },High
112,Accessibility,Text Reflow and Spacing,Web,Text must remain available at narrow widths zoom and user spacing overrides,Use fluid sizes content-driven height and unitless line height,Clip text in fixed-width or fixed-height boxes,".copy { inline-size: min(100%, 65ch); height: auto; line-height: 1.5; }",.copy { width: 900px; height: 40px; overflow: hidden; },Critical
113,Content,Essential Text Truncation,All,Headings actions errors safety text and distinguishing names need complete access,Wrap stack resize or provide a visible full-detail path,Clamp essential meaning only to make cards uniform,Action label wraps or opens full details,Primary action shown only as an unexplained ellipsis,Critical
114,Content,Compact Label Semantics,All,Badges communicate state while chips or tags represent values or actions,Choose static or interactive markup from the label's meaning and ownership,Make every pill clickable or encode status with color alone,<span class='status'>Pending</span>,<div class='pill' onclick='toggle()'>Pending</div>,High
115,Layout,Chip Collection Reflow,All,Filter chips and editable value collections must preserve labels when space or text size changes,Wrap the collection or use an operable +n disclosure for hidden overflow values,Force all chips into one clipped row or hide overflow values,<div class='chip-list'>{chips}</div> with flex-wrap,<div class='chip-list' style='height:32px;overflow:hidden'>,High
116,Content,Compact Label Overflow,All,A badge chip or pill label should stay whole on one line when practical and disclose unavoidable truncation,Bound only unpredictable values; use nowrap with a shrinkable label; expose full text to keyboard pointer and touch users,Let one compact label wrap to a second line or use a hover-only tooltip,Flexible label with min-width 0 and an operable full-value disclosure,Fixed-width badge wraps to second line or clips with title-only recovery,High
117,Accessibility,Compact Control Semantics,Web,Interactive chips need a native role accessible name state keyboard operation and visible focus,Prefer a button and expose pressed or selected state that matches the visible label,Use a clickable div or reveal the only action on hover,<button aria-pressed='true'>Open now</button>,<div class='selected' onclick='toggle()'>Open now</div>,Critical
118,Accessibility,Contextual Live Badge Updates,Web,Async badge and count changes should announce a meaningful contextual status without moving focus,Use one appropriate atomic status message such as 3 items in cart,Announce a bare number or make every badge a competing live region,<span role='status' aria-atomic='true'>3 items in cart</span>,<span aria-live='polite'>3</span>,High
119,Animation,Cancellable State Transitions,Web,Rapid compact-control changes can interrupt an in-flight transition,Cancel or replace prior motion; set the final semantic state directly and handle cancellation cleanup,Depend on animationend or transitionend for required state correctness,previous?.cancel(); setSelected(next),Enable the chip only inside transitionend,High
